Iteraoes & Newton-Raphson & 	Bissecção & 	Secante & 	Falsa Posição
$1$ & $3.293750$ & 	$0.000000$ & 	$-0.460000$ & 	$-0.460000$\\
$2$ & $2.173285$ & 	$2.500000$ & 	$-0.420625$ & 	$-0.420625$\\
$3$ & $1.461878$ & 	$1.250000$ & 	$6.537428$  & 	$-0.381752$\\
$4$ & $1.056359$ & 	$0.625000$ & 	$-0.397814$ & 	$-0.343281$\\
$5$ & $0.889074$ & 	$0.937500$ & 	$-0.375127$ & 	$-0.305134$\\
$6$ & $0.859017$ & 	$0.781250$ & 	$15.538132$ & 	$-0.267246$\\
$7$ & $0.858095$ & 	$0.859375$ & 	$-0.371089$ & 	$-0.229571$\\
$8$ & 		   & 	$0.820312$ & 	$-0.367054$ & 	$-0.192076$\\
$9$ & 		   & 	$0.839844$ & 	$24.449435$ & 	$-0.154741$\\
$10$ & 		   & 	$0.849609$ & 	$-0.365420$ & 	$-0.117560$\\
$11$ & 		   & 	$0.854492$ & 	$-0.363786$ & 	$-0.080536$\\
$12$ & 		   & 	$0.856934$ & 	$28.346145$ & 	$-0.043687$\\
$13$ & 		   & 	$0.858154$ & 	$-0.362569$ & 	$-0.007037$\\
$14$ & 		   & 	$0.857544$ & 	$-0.361353$ & 	$0.029377$\\
$15$ & 				  & 	   & 	$31.224187$ & 	$0.065510$\\
$16$ & 				  & 	   & 	$-0.360350$ & 	$0.101311$\\
$17$ & 				  & 	   & 	$-0.359348$ & 	$0.136720$\\
$18$ & 				  & 	   & 	$33.940445$ & 	$0.171671$\\
$19$ & 				  & 	   & 	$-0.358499$ & 	$0.206096$\\
$20$ & 				  & 	   & 	$-0.357650$ & 	$0.239922$\\
$21$ & 						   & 	   & 	    & 	$0.273077$\\
$22$ & 						   & 	   & 	    & 	$0.305486$\\
$23$ & 						   & 	   & 	    & 	$0.337079$\\
$24 & 						   & 	   & 	    & 	$0.367787$\\
$25$ & 						   & 	   & 	    & 	$0.397547$\\
$26$ & 						   & 	   & 	    & 	$0.426301$\\
$27$ & 						   & 	   & 	    & 	$0.453998$\\
$28$ & 						   & 	   & 	    & 	$0.480597$\\
$29$ & 						   & 	   & 	    & 	$0.506063$\\
$30$ & 						   & 	   & 	    & 	$0.506063$\\
$31$ & 						   & 	   & 	    & 	ERRO!
